security_key,project_ticker,gics_sectors_seen,winner_return_months,cumulative_signed_commonality_contribution,cumulative_absolute_commonality_contribution,mean_signed_commonality_contribution,max_positive_month_contribution,max_negative_month_contribution,share_of_total_absolute_commonality_contribution,absolute_signed_contribution,cumulative_share_of_total_absolute_commonality_contribution
CTRA,CTRA,Energy,3,-0.006319038263134926,0.006319038263134926,-0.002106346087711642,-0.00016508733378975814,-0.005392780061452455,0.002012575423186373,0.006319038263134926,0.6876992297845069
MGM,MGM,Consumer Discretionary,11,0.00023532065197761753,0.006245519458100023,2.1392786543419776e-05,0.00086768088783957,-0.0010577194160774049,0.001989160128960591,0.00023532065197761753,0.6896883899134675
MU,MU,Information Technology,12,-9.629803405005605e-05,0.006214352734236082,-8.024836170838004e-06,0.0013394904601646785,-0.0011348581397331756,0.001979233716133541,9.629803405005605e-05,0.691667623629601
PLD,PLD,Real Estate,8,-0.0016248996574770255,0.006134925430367593,-0.00020311245718462818,0.0009029001617126317,-0.002576364742556296,0.0019539366008069483,0.0016248996574770255,0.6936215602304079
COF,COF,Financials,22,0.0010251090631562185,0.0061321418499467335,4.6595866507100844e-05,0.0008296201393361145,-0.0008262878180084368,0.0019530500472982968,0.0010251090631562185,0.6955746102777062
MSI,MSI,Information Technology,18,-0.0003076486141883124,0.006122508612893149,-1.7091589677128466e-05,0.0006699916265349804,-0.000995449698863998,0.0019499819196287938,0.0003076486141883124,0.697524592197335
TT,TT,Industrials,24,0.0006118641319543837,0.006033995132178823,2.549433883143265e-05,0.0006143197233057706,-0.0005685434418999352,0.0019217909119962563,0.0006118641319543837,0.6994463831093313
XOM,XOM,Energy,5,-0.003627748933155709,0.006013197376250042,-0.0007255497866311418,0.0011927242215471665,-0.0027188104426306282,0.0019151669526694256,0.003627748933155709,0.7013615500620007
MAA,MAA,Real Estate,11,-0.0023517807487052626,0.0060085390296192275,-0.0002137982498822966,0.0006891581321527046,-0.0010791024093410291,0.0019136832974751604,0.0023517807487052626,0.703275233359476
IP,IP,Materials,9,-0.000589467605228632,0.005959209878913585,-6.549640058095911e-05,0.0009805079888421048,-0.0021211821828887385,0.001897972261677827,0.000589467605228632,0.7051732056211538
NOC,NOC,Industrials,11,0.00016316460020378667,0.005948179218462864,1.4833145473071515e-05,0.0006755440033813088,-0.0015840166090898141,0.0018944590631181427,0.00016316460020378667,0.707067664684272
RSG,RSG,Industrials,18,-0.0011381963972158847,0.005945407680068752,-6.323313317866026e-05,0.0004928730214994568,-0.0009498553562725425,0.0018935763449220923,0.0011381963972158847,0.708961241029194
GEV,GEV,Industrials,9,0.004309922897994851,0.00586079703769543,0.0004788803219994279,0.0013359402782846133,-0.0005155721184379082,0.0018666283676683389,0.004309922897994851,0.7108278693968624
KLAC,KLAC,Information Technology,25,0.0011243857221691904,0.005830361360166065,4.4975428886767615e-05,0.0005750554516892703,-0.000698405148558932,0.001856934788672152,0.0011243857221691904,0.7126848041855345
NI,NI,Utilities,17,-0.0007761074823478122,0.005741489567042627,-4.565338131457719e-05,0.0011032366763207224,-0.0005062024520900685,0.0018286296607069985,0.0007761074823478122,0.7145134338462414
ETR,ETR,Utilities,15,0.0016010183044021904,0.005694215022968179,0.00010673455362681269,0.0008359471222783526,-0.0005074994519136621,0.0018135730046804574,0.0016010183044021904,0.7163270068509219
HAL,HAL,Energy,4,0.0001453810405612364,0.005654998015600269,3.63452601403091e-05,0.0016643153764151675,-0.002568108830587636,0.0018010826253042104,0.0001453810405612364,0.7181280894762261
EXPE,EXPE,Consumer Discretionary,11,-0.001239551463776997,0.005650095717440165,-0.00011268649670699973,0.0013493447921328339,-0.0017383764202867733,0.0017995212730250645,0.001239551463776997,0.7199276107492512
BRO,BRO,Financials,17,-0.0013763721108096673,0.005644673446354077,-8.096306534174513e-05,0.0005179281003255423,-0.0007560261572841369,0.0017977943125175803,0.0013763721108096673,0.7217254050617687
CRL,CRL,Health Care,10,-0.0018737089354434952,0.005610220315012567,-0.00018737089354434953,0.0005567213372315782,-0.0010664083662933796,0.0017868211988090815,0.0018737089354434952,0.7235122262605779
FSLR,FSLR,Information Technology,10,-0.0005223959943955278,0.005609311394965856,-5.223959943955278e-05,0.0014053012518569351,-0.0008238204599700403,0.0017865317132779801,0.0005223959943955278,0.7252987579738559
WFC,WFC,Financials,21,0.0015236975613617853,0.005607255108240675,7.255702673151359e-05,0.0008907591707256334,-0.0006260880092959774,0.0017858767984074268,0.0015236975613617853,0.7270846347722634
